منهای بیست ممیز یکصد و چهل و هشت  یوکتو گرم
منفی هفت در ده به نمای سه هزار  ترا هانری
چهار در ده به نمای منفی سی هزار  درجه سانتی گراد
یک ضربدر ده به توان چهار هزار  درجه فارنهایت
منهای شش در ده به توان منهای هشت هزار  هانری
منهای سی و پنج در ده به نمای ده  آمپر
منهای سه ضربدر ده به قوهٔ ده  هرتز
منهای سی و دو ضربدر ده به قوهٔ منهای سی  مول
پنج هزار و پانصد و چهل و دو ممیز چهارده  فاراد
یک هزار و نود و دو و هشتاد صدم  آمپر
پنجاه و سه ممیز ده  ثانیه
سه ضربدر ده به قوهٔ هفت  ژول
منفی چهار ضربدر ده به قوهٔ منفی هشت  کلوین
پانصد و بیست هزارم  اگزا تسلا
یکصد و نود و شش  ترا درجه فارنهایت
ده و هفتصد و نود و چهار هزارم  ثانیه
سی و چهار ممیز پنجاه و نه صدم  سانتی مول
منهای بیست و چهار ممیز هشتاد و سه صدم  هانری
منهای بیست و یک و ششصد و نود و نه هزارم  کلمب
منفی سه ممیز شصت و هفت صدم  ثانیه
نوزده هزار و ششصد و شصت و چهار در ده به نمای ده  ترا فاراد
دو و پانصد و نوزده هزارم  درجه سانتی گراد
صفر ضربدر ده به قوهٔ منفی ده  مول
منهای پنج در ده به نمای صفر  اگزا کلمب
چهارده ممیز نه دهم  کلوین
چهار در ده به نمای منهای هشت  هکتو پاسکال
منفی بیست و چهار ممیز بیست و پنج صدم  تسلا
منهای یک ضربدر ده به قوهٔ چهل هزار  سانتی درجه فارنهایت
دو در ده به توان منهای سیصد  فاراد
منفی چهل و دو در ده به توان منفی ده  ترا تسلا
دو  وات
هجده  دسی متر
دو و چهل و هشت صدم  درجه سانتی گراد
شش ممیز سه  پاسکال
دو ضربدر ده به توان منهای شش  آمپر
سه ضربدر ده به قوهٔ منفی یک  هانری
منفی هفت  اگزا نیوتن
منهای سه و هفتاد و دو صدم  ژول
منفی دو ممیز یک دهم  ژول
منهای سه در ده به نمای یک  نانو پاسکال
هفتاد و هفت ممیز چهارصد و سیزده هزارم  فمتو گرم
یک ممیز سیصد و نود و نه  ترا تسلا
منفی شصت و نه در ده به نمای منفی سی  مول
منهای هفتاد و هفت ممیز چهارصد و هشتاد و هشت  فمتو ژول
منفی هفت هزار و چهارصد و هشتاد و هشت ضربدر ده به توان چهل  پتا ثانیه
منفی یکصد و هفتاد و نه ممیز بیست و شش صدم  پیکو کلوین
منهای سه هزار و سیصد و هشتاد و سه ممیز هشت  گرم
سی در ده به نمای پنج  کلوین
منفی پنج ممیز سه دهم  تسلا
دو و یک دهم  هرتز
منهای دو و سی و پنج صدم  پاسکال
منفی نه ممیز سه دهم  اتو نیوتن
صفر ضربدر ده به توان یک  کیلو هرتز
بیست و چهار ممیز پنجاه و پنج  درجه سانتی گراد
منهای یک هزار و هشتصد و چهل و هشت  گرم
صفر ضربدر ده به توان منهای شش  سانتی نیوتن
شصت و هفت و پنجاه صدم  آمپر
یک ضربدر ده به قوهٔ منفی شش هزار  متر
ده ممیز پنج دهم  پاسکال
بیست  اهم
صفر  پیکو کلوین
صفر در ده به توان منهای سه  فمتو گرم
منفی یازده  ژول
سه در ده به نمای منفی شش  مگا متر
سه ضربدر ده به توان منفی نود  نیوتن
شش  وات
صفر  کلوین
دویست و هشتاد و هفت ممیز شصت و چهار صدم  کلوین
منهای هشتاد و دو ضربدر ده به توان منهای یک  اهم
نه و چهار دهم  فاراد
منفی هفتصد و چهارده ممیز شش  تسلا
منهای ده  درجه فارنهایت
سه و هجده صدم  تسلا
منفی سی و نه ممیز نود و چهار  اهم
منفی هفت هزار و ششصد و هفتاد و شش ممیز پنج دهم  درجه سانتی گراد
منهای هشت ممیز بیست و نه صدم  فاراد
منفی هفت ممیز هفت دهم  ژول
نود و چهار ضربدر ده به توان منهای هفت  سانتی کلوین
چهارصد و بیست و یک ممیز سیصد و هفتاد و سه هزارم  زتا درجه سانتی گراد
یکصد ممیز سیزده صدم  ترا هرتز
منهای چهل و یک  اگزا درجه سانتی گراد
منهای بیست و پنج هزار و دویست و نود و پنج در ده به توان صفر  درجه سانتی گراد
صفر  نیوتن
صفر  هرتز
نود و چهار  کلمب
منهای چهارصد و هشتاد و نه و چهار دهم  آمپر
منفی دویست و چهل و نه ممیز پنجاه و چهار صدم  متر
یک ممیز دویست و نود و پنج هزارم  درجه فارنهایت
منفی یازده ضربدر ده به قوهٔ یک  تسلا
منهای چهار ممیز هفت  ژول
منفی نهصد ممیز یک دهم  هانری
ششصد و ده ممیز هفت  ثانیه
صفر  سانتی پاسکال
صفر در ده به نمای ده  متر
منفی چهارصد و پنجاه و هشتصد و بیست و دو هزارم  هکتو مول
منفی چهل و سه ضربدر ده به توان یکصد  متر
شش و سی صدم  زپتو متر
منفی هفتصد و دوازده ممیز نود  پاسکال
هفت ممیز چهار دهم  اهم
هفت ممیز بیست و دو  دسی متر
هشت و یکصد و نه هزارم  آمپر
منفی سه و هفتصد و شصت و شش هزارم  گرم
منهای یک در ده به نمای منهای ده هزار  ثانیه
منهای هشت و یکصد و هشتاد هزارم  کلمب
صفر  درجه سانتی گراد
یک ممیز نود و دو هزارم  ثانیه
پنج ممیز هفتاد و هفت  وات
منفی بیست و هفت در ده به توان منفی ده  ژول
منهای یک در ده به توان شش  تسلا
شش ممیز هشتصد و پنجاه و نه  وات
شصت و سه ممیز چهل و پنج  دسی هانری
یک  زپتو مول
ده هزار و ششصد و چهل و شش ممیز نود و دو صدم  زپتو هانری
سه و چهار دهم  هرتز
منفی شصت و هشت  ترا وات
چهار  فمتو تسلا
منهای بیست ممیز یک  کلمب
بیست و هشت  هرتز
دو هزار و دویست و پنجاه و هفت در ده به توان هشت هزار  آمپر
منفی پنج ممیز چهارصد و بیست و دو  ژول
چهارصد و سی و دو ضربدر ده به توان منفی نه  مگا وات
منهای یک در ده به نمای صفر  مول
منهای پنجاه و چهار و بیست و دو صدم  وات
بیست و چهار ضربدر ده به قوهٔ منهای دویست  اگزا وات
پانصد و هشتاد ممیز هشتاد و شش  میلی کلمب
دو  ثانیه
نود و نه ممیز چهل و یک صدم  گرم
منفی سه در ده به نمای هشت  سانتی ثانیه
منهای دو در ده به نمای ده  کلمب
پنج و هفتاد و هشت صدم  اهم
سی و دو ممیز پانزده صدم  ثانیه
منهای نه ممیز پنج  فمتو کلمب
چهار ممیز ششصد و پانزده هزارم  کلوین
ده ممیز نود و چهار صدم  اگزا پاسکال
صفر در ده به توان صفر  تسلا
صفر  ثانیه
صفر در ده به نمای دو هزار  پاسکال
سی در ده به توان صفر  دسی آمپر
منفی بیست و دو در ده به توان نود  اهم
منفی نهصد و هفده ممیز ششصد و پنجاه و یک هزارم  کلمب
پنج ضربدر ده به توان منفی ده  آمپر
بیست ممیز هشتصد و هشتاد و یک هزارم  میکرو کلوین
هشت و نه دهم  متر
شش ممیز سیصد و هشتاد و دو  فمتو هرتز
صفر ضربدر ده به توان یکصد  اهم
یک در ده به نمای منفی دو  میکرو اهم
منهای هشت ضربدر ده به توان پنج  زپتو کلوین
صفر در ده به توان هشت  درجه سانتی گراد
یک  هرتز
ششصد و چهل و هفت و هفت دهم  وات
هشت در ده به نمای منهای هشت  ثانیه
هشت هزار و هفتصد و هشتاد و هشت و نهصد و هفتاد و چهار هزارم  وات
منفی هفتصد و هشتاد و هفت ممیز سه دهم  گرم
هشت ممیز نهصد و هشت  وات
چهارده در ده به توان منفی شصت  درجه فارنهایت
صفر در ده به نمای شش  درجه فارنهایت
صفر ضربدر ده به قوهٔ منهای هفت  اهم
منفی یک در ده به نمای هشت  آمپر
منهای بیست و پنج  آمپر
منفی چهارصد و سی و سه ممیز چهل و هشت  کلمب
منفی هشت ممیز چهار  اگزا تسلا
هفت ممیز پنج دهم  درجه سانتی گراد
منفی سیصد و هفتاد و پنج هزارم  اهم
دو در ده به نمای منهای چهل  یوتا متر
هفتصد و هفتاد و هفت و یکصد و دوازده هزارم  کلوین
منفی دو و سه دهم  مول
ششصد و هشتاد و هشت  وات
منهای هفتاد و هشت و دو دهم  درجه فارنهایت
سیزده ضربدر ده به قوهٔ منفی چهار  وات
ده و ششصد و پنجاه و هفت هزارم  اهم
منهای پنجاه و دو ممیز شصت و هشت صدم  پاسکال
یک ضربدر ده به قوهٔ شصت  ژول
نه و هفت دهم  اهم
منهای چهار در ده به توان پنج  مول
منفی نه ممیز نود و نه  کلوین
منفی نوزده  آمپر
منفی چهار ضربدر ده به توان یک هزار  هرتز
سه ممیز پنجاه و هفت صدم  هانری
دو دهم  گرم
منهای سه در ده به نمای صفر  ژول
منهای نوزده ممیز ششصد و بیست و هفت هزارم  درجه فارنهایت
سی و چهار ممیز پنجاه و سه صدم  کلوین
هشتاد و هشت ضربدر ده به قوهٔ منفی شصت  نیوتن
شصت و سه ضربدر ده به قوهٔ نه  پتا مول
چهار ممیز هشتصد و هشتاد هزارم  تسلا
منفی نه و سی و شش صدم  درجه سانتی گراد
سی و سه  کلوین
شش  پاسکال
منهای هشت ضربدر ده به توان صفر  فاراد
دو در ده به نمای منفی شصت  کلوین
منفی شش ممیز شش  یوکتو درجه فارنهایت
چهل و هفت و نهصد و چهل و چهار هزارم  درجه سانتی گراد
منفی پنج ممیز هشتصد و سی و پنج هزارم  هانری
منهای بیست و دو هزار و هشتصد و پنجاه  متر
منفی هجده  کلمب
هفتاد و دو ضربدر ده به قوهٔ منفی هشت  هرتز
منهای ده در ده به توان صفر  نیوتن
بیست و سه ضربدر ده به قوهٔ هفتاد  نیوتن
منفی یک هزار و هفتصد و شصت و هفت  ترا درجه فارنهایت
منفی ششصد و چهل و هشت ممیز هفتاد و پنج  ژول
منفی چهار ضربدر ده به توان شصت  تسلا
منهای هفت ضربدر ده به توان منهای یک  آمپر
هشت و هفتصد و هفتاد و پنج هزارم  پیکو وات
منهای پنجاه و نه ممیز هفتصد  هانری
منفی هشتاد و یک ممیز پنج  هانری
پنج در ده به توان منهای سه  یوکتو اهم
صفر ضربدر ده به قوهٔ هفت  کلوین
شش ضربدر ده به توان منهای پانصد  کلوین
صفر در ده به توان سه  متر
یک ممیز نود و نه  ثانیه
منفی سی و پنج ممیز نود صدم  گرم
یک ضربدر ده به توان بیست  ترا وات
منفی هفتاد و چهار و هفتصد و پنجاه و یک هزارم  ثانیه
منهای سه ضربدر ده به توان منهای هفت  اگزا ژول
چهار  مول
منفی هفتاد ممیز پنج  درجه سانتی گراد
منفی شش ممیز چهارده صدم  فاراد
شش ممیز هشتاد  فاراد
منفی سه در ده به نمای یکصد  مگا هانری
دوازده و دو دهم  مول
صفر در ده به نمای منفی دو  پتا وات
منفی هشتصد و شصت و سه و هشتصد و هشتاد و دو هزارم  پاسکال
سی و پنج در ده به نمای سی  هرتز
منفی دویست و شصت و چهار  فاراد
منفی نه و هفتصد و بیست و نه هزارم  مول
صفر در ده به نمای هشتاد  میکرو کلوین
منهای یکصد و هفتاد و یک ممیز شصت و هفت صدم  نیوتن
منفی یک  دکا گرم
هفت و بیست و هفت صدم  ثانیه
هشت و چهل و نه صدم  مول
منفی یک در ده به نمای منفی هفت  هرتز
منفی چهار ضربدر ده به قوهٔ ده هزار  کلوین
بیست و هفت  گرم
چهارده  کیلو فاراد
منفی هشتصد و پانزده و دو دهم  گرم
ششصد و چهل و هشت  میلی هانری
منفی شصت و دو و هشتصد و هفتاد و هشت هزارم  میلی ژول
هفت و چهارده صدم  مول
صفر در ده به نمای منفی شش  هانری
منهای چهل و هشت در ده به توان چهار  کلوین
شش در ده به توان منفی دو  درجه فارنهایت
نود و شش ممیز دو  کلوین
منهای سه در ده به نمای منهای پنجاه  آمپر
شصت  دسی فاراد
پانصد و هشتاد و سه و هشتصد و چهار هزارم  وات
منهای پنج در ده به توان پنج  کلوین
چهارده ضربدر ده به قوهٔ منهای شصت هزار  فاراد
منهای چهل و شش و نه دهم  کلمب
یک ضربدر ده به توان ده  کلمب
صفر در ده به توان منهای هفت  نیوتن
نهصد و هشتاد و نه ممیز یکصد و پنجاه و دو  دسی پاسکال
صفر ضربدر ده به توان نود  هرتز
منفی هشت ضربدر ده به توان هشت  ثانیه
یک در ده به توان ده  فاراد
نه در ده به نمای ده  نیوتن
منهای هشت  کیلو فاراد
منفی نه ممیز چهارصد و نود و هفت هزارم  متر
منهای یک ضربدر ده به توان دو  کیلو آمپر
منفی دو  فاراد
صفر در ده به توان چهار هزار  ثانیه
صفر در ده به نمای منفی چهار  مول
منفی شش هزار و چهارصد و نود و هفت در ده به نمای سه  پاسکال
پنج در ده به نمای چهل  درجه فارنهایت
شش در ده به نمای ده  فاراد
یکصد ممیز چهار دهم  متر
منفی هفت در ده به توان پانصد  آمپر
دویست و شصت و هفت  اتو اهم
منفی هفتصد و هفتاد ممیز نود و نه صدم  فاراد
شش  وات
منفی یک ممیز پانصد و هفتاد و یک  پاسکال
منفی چهار و ششصد و شصت و نه هزارم  درجه سانتی گراد
منفی دو در ده به توان یک هزار  کلوین
صفر ضربدر ده به توان منفی هشت  وات
منفی هفتاد و چهار ممیز پانصد و شصت و نه  پتا تسلا
منهای دو ضربدر ده به قوهٔ منهای بیست  هرتز
هشتاد و دو ممیز چهل و یک  نیوتن
چهل و دو ضربدر ده به توان منفی هشت  فمتو مول
منفی نود و یک در ده به توان هفت  گیگا هرتز
بیست و یک ممیز شصت و شش  درجه فارنهایت
منفی یکصد و سه در ده به توان منفی ده  هانری
هفت ضربدر ده به توان ده  کلمب
پانزده در ده به نمای پنجاه  فاراد
منهای سیزده و بیست و هفت صدم  کلوین
هفتصد و هشتاد و دو ممیز نه دهم  کلوین
پنج ضربدر ده به توان منهای ده  متر
منفی چهل و پنج  گرم
سه ضربدر ده به توان شش  کیلو ژول
منهای دویست و یک  گرم
صفر  درجه فارنهایت
